ID,Name,Height,Weight,Age,Sex,Profession,Salary,Has_car
0,Горшков Бенедикт,186.0,78.0,71,м,продавец,310000,True
1,Суворов Эрик,182.0,117.0,80,м,сантехник,61000,True
2,Воронов Модест,192.0,55.0,27,м,преподаватель,266000,True
3,Гусев Макар,193.0,116.0,68,м,продавец,240000,False
4,Соболев Фёдор,165.0,84.0,67,м,автослесарь,226000,False
5,Крюков Макар,189.0,109.0,45,м,врач,47000,True
6,Мухин Евстахий,183.0,55.0,42,м,студент,258000,True
7,Яковлев Федот,184.0,53.0,18,м,сантехник,49000,True
8,Меркушев Валентин,168.0,77.0,69,м,преподаватель,343000,True
9,Петухов Мирон,174.0,71.0,51,м,сантехник,293000,False
10,Бобылёв Зиновий,176.0,89.0,80,м,студент,427000,False
13,Васильев Никола,176.0,55.0,35,м,студент,41000,False
14,Павлов Степан,166.0,108.0,37,м,сантехник,316000,False
15,Нестеров Юрий,176.0,116.0,40,м,инженер,186000,True
16,Хохлов Остап,171.0,65.0,60,м,врач,420000,True
17,Лаврентьев Данил,165.0,113.0,70,м,инженер,460000,False
18,Борисов Аполлинарий,194.0,88.0,37,м,врач,13000,False
20,Романов Август,189.0,114.0,52,м,бухгалтер,29000,True
22,Котов Ринат,182.0,53.0,63,м,врач,425000,False
23,Третьяков Гордей,176.0,116.0,58,м,сантехник,141000,False
24,Ермаков Кирилл,168.0,119.0,50,м,врач,130000,False
25,Зуев Филипп,165.0,82.0,19,м,студент,481000,True
26,Силин Ждан,179.0,64.0,31,м,студент,307000,False
27,Ларионов Артур,172.0,65.0,66,м,студент,170000,False
28,Щербаков Зиновий,167.0,51.0,49,м,преподаватель,431000,False
29,Пестов Арсений,186.0,54.0,77,м,программист,479000,False
30,Громов Остап,173.0,61.0,36,м,автослесарь,22000,False
31,Шаров Ждан,165.0,68.0,62,м,программист,421000,False
32,Смирнов Феликс,178.0,107.0,79,м,продавец,282000,True
33,Зайцев Павел,194.0,107.0,36,м,студент,487000,True
34,Воробьёв Прохор,172.0,115.0,21,м,бухгалтер,275000,True
35,Владимиров Константин,194.0,77.0,22,м,инженер,22000,False
36,Овчинников Илья,175.0,84.0,21,м,сантехник,433000,True
37,Якушев Платон,166.0,98.0,80,м,автослесарь,341000,False
38,Сафонов Ян,172.0,90.0,64,м,бухгалтер,261000,False
39,Фокин Никанор,173.0,50.0,19,м,врач,62000,True
40,Маслов Климент,166.0,91.0,64,м,сантехник,263000,True
41,Лебедев Вячеслав,171.0,102.0,77,м,продавец,11000,False
42,Фомичёв Владимир,177.0,108.0,62,м,инженер,199000,False
43,Журавлёв Всеволод,180.0,74.0,69,м,студент,53000,True
44,Зуев Давид,186.0,82.0,41,м,бухгалтер,118000,True
45,Аксёнов Максим,168.0,110.0,26,м,программист,56000,True
48,Матвеев Дамир,170.0,106.0,25,м,автослесарь,131000,False
49,Самойлов Потап,175.0,104.0,72,м,студент,118000,True
50,Ситников Иеремия,184.0,73.0,74,м,преподаватель,361000,True
51,Крылов Самсон,192.0,77.0,40,м,автослесарь,279000,False
52,Константинов Никодим,191.0,90.0,35,м,студент,231000,False
53,Якушев Ренат,171.0,114.0,86,м,бухгалтер,187000,True
55,Белозёров Ярослав,173.0,105.0,61,м,бухгалтер,43000,False
57,Сергеев Кондрат,180.0,119.0,41,м,программист,394000,False
58,Доронин Мартын,190.0,118.0,19,м,программист,347000,False
61,Пахомов Николай,180.0,67.0,58,м,программист,46000,False
62,Наумов Августин,194.0,88.0,71,м,продавец,102000,False
63,Зыков Болеслав,187.0,74.0,34,м,бухгалтер,421000,True
64,Исаев Августин,179.0,82.0,71,м,преподаватель,460000,True
65,Белов Савва,189.0,112.0,54,м,бухгалтер,301000,False
66,Крюков Макарий,182.0,75.0,21,м,бухгалтер,156000,True
67,Киселёв Марк,186.0,87.0,89,м,сантехник,337000,True
68,Матвеев Филат,165.0,107.0,53,м,инженер,233000,True
69,Селиверстов Сидор,189.0,93.0,77,м,инженер,24000,False
70,Кошелев Архип,171.0,50.0,73,м,продавец,487000,False
71,Уваров Семён,166.0,115.0,55,м,врач,299000,False
72,Филатов Леонид,179.0,59.0,88,м,инженер,71000,False
74,Яковлев Савва,165.0,60.0,22,м,студент,65000,False
75,Кабанов Антоний,172.0,50.0,32,м,инженер,452000,True
76,Игнатов Анастасий,186.0,76.0,71,м,продавец,381000,False
77,Горбунов Самсон,165.0,58.0,42,м,студент,418000,False
78,Беляев Леонтий,171.0,91.0,26,м,студент,445000,True
80,Ефремов Марк,184.0,79.0,33,м,врач,162000,True
81,Родионов Данислав,191.0,108.0,47,м,бухгалтер,105000,False
82,Хохлов Тарас,179.0,93.0,55,м,преподаватель,364000,False
83,Ершов Терентий,174.0,107.0,66,м,инженер,200000,False
84,Родионов Митрофан,184.0,112.0,45,м,врач,444000,False
85,Ильин Фаддей,178.0,52.0,86,м,бухгалтер,462000,False
86,Панов Вениамин,174.0,88.0,46,м,студент,350000,False
87,Титов Влас,176.0,99.0,48,м,преподаватель,352000,True
88,Суворов Андрей,189.0,110.0,18,м,сантехник,97000,False
89,Горшков Ефрем,168.0,105.0,54,м,студент,195000,True
90,Петухов Захар,175.0,95.0,21,м,сантехник,443000,False
91,Беспалов Игнат,166.0,86.0,22,м,инженер,318000,False
93,Пахомов Кирилл,175.0,52.0,29,м,сантехник,326000,False
94,Фёдоров Борислав,193.0,73.0,89,м,продавец,141000,False
95,Воробьёв Климент,184.0,90.0,31,м,автослесарь,248000,False
96,Корнилов Радий,180.0,112.0,34,м,сантехник,237000,True
97,Воронов Радослав,170.0,68.0,69,м,инженер,453000,True
98,Максимов Альберт,166.0,90.0,89,м,сантехник,209000,False
99,Федотов Тимофей,174.0,73.0,51,м,студент,70000,False
100,Сафонов Касьян,192.0,108.0,64,м,бухгалтер,382000,True
101,Лыткин Михаил,177.0,90.0,60,м,студент,43000,False
102,Чернов Моисей,187.0,118.0,24,м,инженер,486000,False
103,Горшков Денис,169.0,95.0,75,м,автослесарь,423000,False
104,Щербаков Ростислав,171.0,104.0,75,м,инженер,451000,True
105,Ширяев Булат,172.0,58.0,82,м,студент,42000,True
106,Кудряшов Емельян,166.0,99.0,80,м,бухгалтер,188000,True
107,Пестов Матвей,180.0,98.0,26,м,бухгалтер,165000,True
108,Меркушев Ефрем,179.0,109.0,35,м,преподаватель,91000,False
109,Владимиров Модест,193.0,109.0,26,м,сантехник,414000,False
110,Архипов Касьян,190.0,95.0,68,м,автослесарь,150000,True
111,Буров Ринат,177.0,57.0,77,м,программист,406000,True
112,Александров Семен,189.0,118.0,73,м,врач,430000,False
113,Иванков Кирилл,169.0,78.0,78,м,студент,403000,True
114,Комиссаров Мартын,183.0,84.0,26,м,студент,143000,False
115,Кабанов Юрий,185.0,105.0,68,м,преподаватель,353000,False
116,Давыдов Алексей,186.0,103.0,70,м,программист,384000,False
117,Харитонов Эльдар,174.0,63.0,88,м,студент,31000,False
119,Муравьёв Демид,176.0,87.0,23,м,инженер,137000,True
120,Поляков Диомид,185.0,107.0,69,м,продавец,299000,True
121,Яковлев Денис,172.0,69.0,46,м,продавец,410000,True
122,Дроздов Никифор,167.0,119.0,58,м,автослесарь,36000,False
123,Рогов Вилен,185.0,94.0,29,м,бухгалтер,470000,True
124,Игнатов Арсений,172.0,58.0,58,м,инженер,80000,False
125,Коновалов Демид,170.0,88.0,21,м,сантехник,377000,False
126,Абрамов Эдуард,168.0,94.0,45,м,сантехник,404000,False
127,Кулагин Климент,172.0,110.0,80,м,врач,478000,True
129,Яковлев Илья,173.0,63.0,52,м,продавец,28000,False
131,Николаев Андрей,177.0,107.0,70,м,инженер,243000,True
132,Красильников Влас,190.0,118.0,81,м,продавец,26000,False
133,Кулагин Геннадий,192.0,91.0,75,м,инженер,328000,False
135,Блохин Даниил,193.0,62.0,88,м,инженер,305000,True
136,Сергеев Тарас,171.0,94.0,37,м,сантехник,76000,True
137,Селезнёв Кирилл,177.0,69.0,87,м,программист,158000,False
138,Кузнецов Андрей,181.0,67.0,83,м,бухгалтер,344000,True
139,Фокин Антоний,191.0,93.0,75,м,бухгалтер,386000,False
140,Стрелков Максим,182.0,99.0,40,м,бухгалтер,170000,False
141,Якушев Августин,172.0,92.0,40,м,преподаватель,370000,False
142,Попов Юрий,193.0,78.0,76,м,инженер,322000,False
143,Сазонов Болеслав,189.0,63.0,80,м,продавец,259000,True
144,Сысоев Аким,188.0,58.0,36,м,студент,317000,True
145,Крюков Ренат,185.0,104.0,84,м,сантехник,351000,False
146,Коновалов Кир,182.0,93.0,81,м,преподаватель,17000,True
147,Красильников Фёдор,177.0,104.0,79,м,программист,11000,True
148,Орлов Всеволод,187.0,117.0,78,м,автослесарь,57000,True
150,Мельников Алексей,191.0,95.0,63,м,преподаватель,79000,True
151,Аксёнов Ярослав,179.0,90.0,72,м,врач,299000,True
152,Васильев Рустам,190.0,90.0,84,м,студент,160000,True
153,Матвеев Евстахий,190.0,116.0,21,м,преподаватель,236000,False
154,Шубин Антоний,172.0,93.0,45,м,преподаватель,130000,False
155,Силин Андрей,175.0,62.0,51,м,инженер,173000,False
156,Корнилов Аристарх,177.0,52.0,26,м,врач,18000,True
157,Бирюков Терентий,184.0,105.0,64,м,врач,410000,False
158,Борисов Иннокентий,191.0,87.0,22,м,программист,221000,True
159,Устинов Ян,178.0,102.0,83,м,преподаватель,470000,False
160,Емельянов Антоний,171.0,101.0,82,м,автослесарь,29000,False
161,Куликов Дамир,191.0,105.0,74,м,бухгалтер,299000,False
162,Федотов Макарий,173.0,71.0,70,м,программист,383000,False
163,Евдокимов Димитрий,176.0,100.0,54,м,врач,214000,False
164,Морозов Роман,165.0,86.0,21,м,врач,389000,False
165,Родионов Данислав,177.0,96.0,22,м,студент,355000,True
166,Суханов Диомид,170.0,89.0,46,м,инженер,332000,True
167,Мамонтов Святослав,170.0,80.0,47,м,сантехник,448000,False
168,Панов Никифор,172.0,116.0,25,м,автослесарь,256000,False
169,Шашков Арсен,176.0,83.0,20,м,автослесарь,206000,True
170,Мухин Семен,184.0,99.0,67,м,бухгалтер,402000,True
172,Фомичёв Семён,181.0,78.0,61,м,сантехник,360000,True
173,Белоусов Кирилл,170.0,99.0,75,м,программист,486000,True
175,Лобанов Мартин,169.0,77.0,32,м,бухгалтер,360000,True
176,Миронов Марат,176.0,115.0,33,м,врач,23000,True
178,Лобанов Елисей,168.0,107.0,62,м,продавец,449000,False
179,Шестаков Августин,175.0,69.0,43,м,преподаватель,445000,False
180,Зиновьев Николай,189.0,91.0,32,м,бухгалтер,193000,True
182,Гордеев Константин,168.0,70.0,59,м,студент,72000,True
183,Фёдоров Виктор,167.0,82.0,54,м,врач,303000,False
184,Дементьев Мирослав,183.0,87.0,32,м,автослесарь,452000,True
185,Рогов Трофим,174.0,51.0,51,м,автослесарь,208000,False
186,Волков Фаддей,172.0,90.0,18,м,сантехник,380000,False
187,Исаков Кондрат,174.0,111.0,49,м,автослесарь,108000,False
188,Николаев Мирон,184.0,101.0,73,м,бухгалтер,238000,False
189,Кулагин Аркадий,167.0,56.0,31,м,врач,395000,False
190,Осипов Глеб,166.0,70.0,57,м,сантехник,182000,True
191,Агафонов Серафим,178.0,66.0,56,м,инженер,139000,True
192,Терентьев Радик,178.0,111.0,68,м,продавец,386000,True
193,Корнилов Потап,188.0,98.0,67,м,студент,99000,False
195,Власов Леонид,169.0,104.0,45,м,бухгалтер,476000,False
196,Беспалов Потап,192.0,93.0,28,м,продавец,327000,False
197,Зайцев Димитрий,177.0,98.0,64,м,студент,324000,False
198,Селиверстов Климент,188.0,61.0,46,м,программист,287000,True
199,Кудрявцев Митрофан,181.0,83.0,72,м,продавец,445000,False
200,Зыков Макар,188.0,72.0,85,м,сантехник,482000,False
201,Степанов Никита,172.0,81.0,36,м,автослесарь,19000,False
202,Антонов Егорий,166.0,117.0,80,м,программист,355000,False
203,Цветков Филимон,174.0,71.0,27,м,автослесарь,194000,True
204,Журавлёв Остап,181.0,90.0,63,м,продавец,200000,True
205,Белоусов Пётр,173.0,68.0,68,м,преподаватель,367000,True
207,Беляев Арсен,180.0,114.0,51,м,автослесарь,294000,True
208,Сазонов Марк,170.0,73.0,36,м,инженер,428000,True
209,Дорофеев Ярослав,172.0,97.0,18,м,автослесарь,403000,False
210,Кошелев Климент,184.0,91.0,23,м,инженер,470000,True
211,Киселёв Тихон,191.0,59.0,78,м,инженер,122000,False
212,Лапин Пётр,176.0,113.0,33,м,сантехник,491000,False
213,Суворов Григорий,179.0,101.0,57,м,преподаватель,278000,False
214,Дементьев Юлий,188.0,59.0,70,м,инженер,176000,True
215,Гришин Терентий,175.0,63.0,46,м,инженер,102000,True
216,Дроздов Валентин,178.0,106.0,86,м,бухгалтер,487000,True
217,Рожков Глеб,187.0,66.0,78,м,студент,264000,False
218,Суворов Никита,167.0,103.0,72,м,врач,105000,False
219,Назаров Евдоким,176.0,113.0,39,м,инженер,361000,True
220,Исаев Семён,177.0,75.0,34,м,программист,254000,False
221,Фомичёв Ренат,171.0,119.0,34,м,автослесарь,388000,False
222,Новиков Платон,169.0,109.0,59,м,программист,343000,True
223,Носков Август,183.0,83.0,46,м,бухгалтер,277000,True
224,Игнатов Марат,185.0,103.0,49,м,сантехник,460000,True
225,Дорофеев Герман,176.0,76.0,80,м,программист,123000,False
226,Буров Марат,178.0,106.0,47,м,врач,21000,True
227,Авдеев Еремей,186.0,73.0,73,м,сантехник,422000,True
229,Савельев Гордей,167.0,53.0,44,м,автослесарь,412000,False
230,Михайлов Святослав,173.0,68.0,53,м,студент,182000,False
231,Васильев Игнатий,171.0,74.0,47,м,инженер,69000,False
232,Воронов Эрик,177.0,117.0,25,м,врач,12000,False
233,Ковалёв Аристарх,172.0,109.0,63,м,автослесарь,15000,True
234,Мышкин Матвей,180.0,58.0,26,м,бухгалтер,282000,True
235,Данилов Чарли,167.0,114.0,78,м,преподаватель,117000,False
236,Фокин Виссарион,176.0,81.0,43,м,продавец,57000,False
237,Мухин Всеволод,172.0,83.0,76,м,сантехник,76000,True
238,Баранов Егорий,184.0,53.0,32,м,преподаватель,390000,True
239,Соболев Захар,192.0,115.0,36,м,студент,499000,True
240,Киселёв Болеслав,167.0,99.0,79,м,программист,145000,True
241,Антонов Тимофей,185.0,73.0,18,м,врач,294000,True
242,Горшков Болеслав,191.0,115.0,69,м,продавец,154000,True
243,Исаев Егорий,191.0,112.0,36,м,врач,52000,True
244,Большаков Аркадий,168.0,73.0,51,м,студент,415000,True
245,Цветков Агафон,170.0,84.0,44,м,автослесарь,226000,False
246,Блохин Артём,172.0,61.0,40,м,бухгалтер,245000,True
247,Морозов Платон,178.0,93.0,38,м,автослесарь,189000,False
248,Панфилов Сергей,182.0,87.0,21,м,преподаватель,54000,False
249,Бирюков Рустам,169.0,102.0,50,м,студент,250000,False
250,Галкин Мирослав,181.0,93.0,70,м,инженер,415000,False
251,Пестов Геннадий,174.0,84.0,18,м,врач,389000,False
252,Носков Лукьян,177.0,100.0,28,м,студент,22000,True
253,Фокин Юлиан,182.0,72.0,20,м,программист,62000,True
254,Воронцов Чарли,175.0,72.0,70,м,преподаватель,408000,True
255,Михайлов Радий,166.0,104.0,53,м,студент,484000,True
256,Воронцов Алексей,168.0,119.0,83,м,инженер,59000,False
257,Русаков Никита,175.0,100.0,72,м,студент,459000,False
258,Субботин Илья,177.0,52.0,72,м,врач,402000,True
259,Куликов Семён,182.0,57.0,49,м,продавец,156000,False
260,Носов Игнатий,185.0,50.0,51,м,бухгалтер,35000,True
261,Ковалёв Яков,176.0,92.0,37,м,программист,354000,False
262,Исаев Григорий,186.0,85.0,23,м,программист,131000,True
263,Шестаков Никодим,193.0,90.0,89,м,студент,431000,True
264,Воронов Савва,193.0,77.0,43,м,преподаватель,433000,False
265,Мамонтов Денис,193.0,62.0,74,м,продавец,481000,True
266,Прохоров Илья,180.0,117.0,70,м,преподаватель,448000,True
267,Михайлов Болеслав,177.0,76.0,19,м,сантехник,354000,True
268,Галкин Григорий,191.0,89.0,40,м,инженер,250000,False
